service_type,service_sub_type,bank_scope,detail_category,answer_type,sequence,question_text
Valuation of asset,L & B,,OTHER MARKET VALUES,Tabular,1,Other Market values
Valuation of asset,Land,,OTHER MARKET VALUES,Tabular,1,Other Market Values
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,1,Purpose of this report to bank
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,2,Task of Valuer - to determine
Valuation of asset,L & B,,PART A - BANK / PARTY,Tabular,3,Name of the owner(s)
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,4,List of documents produced
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,8,Shortcoming observed in documents
Valuation of asset,L & B,,PART C - ONSITE,Tabular,1,Date of Inspection
Valuation of asset,L & B,,PART D - POST SITE,Text,1,Date of making this report
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,2,Brief description of property (at site)
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,14,Type of ownership
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,15,In-case of Lease property - Details of the Lesser
Valuation of asset,L & B,,PART A - BANK / PARTY,Text,16,In-case of leased property - Balance lease period
Valuation of asset,L & B,,PART A - BANK / PARTY,Checkbox,17,In-case of leased property - Details as per lease agreement
Valuation of asset,L & B,,PART C - ONSITE,Text,3,Postal address of property
Valuation of asset,L & B,,PART C - ONSITE,Text,4,If any landmark
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,5,Development of surrounding area (actual at site)
Valuation of asset,L & B,,PART C - ONSITE,Radio,6,Coming under limits of -
Valuation of asset,L & B,,PART C - ONSITE,Radio,7,Whether Covered under any state/ Center Government enactments
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,8,In case it is an agricultural land any conversion to house site plots is contemplated
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Checkbox,18,Land use of property - as per ownership document
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,9,Type (land used) of property - Actual at site
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Checkbox,19,Land use of property - as per latest document
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Tabular,6,Boundaries of the property (as per document)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,10,Boundaries of the property (actual at site)
Valuation of asset,L & B,,PART D - POST SITE,Text,2,Any worryful deviation in Boundaries
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Tabular,7,Dimensions of the site (as per document)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,11,Dimensions of the site (actual at site)
Valuation of asset,L & B,,PART D - POST SITE,Text,3,Any worryful deviation in Dimensions of the site
Valuation of asset,L & B,,PART C - ONSITE,Text,12,Latitude / Longitude / Cordinates of site
Valuation of asset,L & B,,PART D - POST SITE,Text,4,Extent of the site (land area as per document)
Valuation of asset,L & B,,PART D - POST SITE,Text,5,Extent of site considered for valuation
Valuation of asset,L & B,,PART C - ONSITE,Radio,13,Whether occupied by the owner / tenant
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,15,Classification of Area
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,16,Development of surrounding area done by
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,17,Possibility of frequent flooding/ submerging
Valuation of asset,L & B,,PART C - ONSITE,Radio,18,Distance of civic amenities
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,19,Level / contour of Land
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,20,Shape & soil type of land
Valuation of asset,L & B,,PART C - ONSITE,Text,21,Type of use to which it can be put
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Checkbox,8,Any usage restriction
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,9,Is plot in Town Planning
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,10,Approval & permission layout
Valuation of asset,L & B,,PART C - ONSITE,Radio,22,Corner plot or Intermittent plot
Valuation of asset,L & B,,PART C - ONSITE,Radio,23,Road facilities
Valuation of asset,L & B,,PART C - ONSITE,Radio,24,Type of road available at present
Valuation of asset,L & B,,PART C - ONSITE,Radio,25,Width of road
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,11,Is it a land locked land
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,26,Water Potential
Valuation of asset,L & B,,PART C - ONSITE,Radio,27,Underground sewerage system
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,28,Is power supply available at site
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,29,Telecommunication Network availability
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,30,Advantage of the site
Valuation of asset,L & B,,PART C - ONSITE,Text,31,Disadvantage of the site
Valuation of asset,L & B,,PART C - ONSITE,Radio,32,Special remark if any like threat of acquisition
Valuation of asset,L & B,,PART C - ONSITE,Text,33,Prevailing market rate
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,12,Guideline rate (land)
Valuation of asset,L & B,,PART D - POST SITE,Text,6,Assessed / adopted rate of land
Valuation of asset,L & B,,PART D - POST SITE,Text,7,Assessed / Estimated Value of Land
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,35,Type of Building
Valuation of asset,L & B,,PART C - ONSITE,Radio,36,Type of construction & Quality
Valuation of asset,L & B,,PART C - ONSITE,Text,37,Year of First construction
Valuation of asset,L & B,,PART C - ONSITE,Text,38,Number of floors & height
Valuation of asset,L & B,,PART C - ONSITE,Text,39,Plinth Area of the Building (Total)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,40,Plinth constructed area floor wise
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,41,Appearance & Condition of Building (Exterior)
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,42,Appearance & Condition of the building (Interior)
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Tabular,13,Details of Approval/ Permission
Valuation of asset,L & B,,PART C - ONSITE,Checkbox,43,Is building constructed strictly according to the sanctioned plan
Valuation of asset,L & B,,PART C - ONSITE,Tabular,44,Specification of construction (Floor wise)
Valuation of asset,L & B,,PART C - ONSITE,Tabular,45,Compound wall
Valuation of asset,L & B,,PART C - ONSITE,Tabular,46,Electrical Installation
Valuation of asset,L & B,,PART C - ONSITE,Radio,47,Plumbing Installation
Valuation of asset,L & B,,PART C - ONSITE,Formula Based Calculation,48,Details of Valuation (Independent Building)
Valuation of asset,L & B,,PART C - ONSITE,Sum of Attribute,49,Part C- (Extra Items)
Valuation of asset,L & B,,PART C - ONSITE,Sum of Attribute,50,Part D (Amenities)
Valuation of asset,L & B,,PART C - ONSITE,Sum of Attribute,51,Part E- (Miscellaneous)
Valuation of asset,L & B,,PART C - ONSITE,Sum of Attribute,52,Part F- (Services)
Valuation of asset,L & B,,PART D - POST SITE,Sum of Attribute,9,Total Abstract of the Entire Property
Valuation of asset,L & B,,PART D - POST SITE,Sum of Attribute,10,Guideline Value
Valuation of asset,L & B,,PART D - POST SITE,Tabular,12,Valuer comment if any
Valuation of asset,L & B,,PART D - POST SITE,Tabular,11,Other market values
Valuation of asset,L & B,,PART C - ONSITE,Text,53,Total extent of the plot
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Radio,15,Whether genuineness of approved map / plan is verified
Valuation of asset,L & B,,PART B - PRE-SITE VISIT,Text,16,Any other comments by our empanelled valuers
Valuation of asset,L & B,,PART C - ONSITE,Tabular,54,If occupied by both
Valuation of asset,L & B,,PART D - POST SITE,Text,14,F.S.I / F.A.R
Valuation of asset,L & B,,PART D - POST SITE,Text,15,Plot / Ground Coverage
Valuation of asset,L & B,,PART D - POST SITE,Checkbox,16,Any factors which affect the marketability of the land
Valuation of asset,L & B,,PART C - ONSITE,Radio,55,Type of Land
Valuation of asset,L & B,,PART C - ONSITE,Radio,55,Accessibility towards land
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,1,Purpose of this report to bank
Valuation of asset,Land,,PART A - BANK / PARTY,Tabular,3,Name of the owner
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,4,List of documents produced for perusal
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,5,Document provided for perusal (Approval & Permissions)
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,6,Document provided for perusal (Statutory)
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,9,Type of ownership
Valuation of asset,Land,,PART A - BANK / PARTY,Checkbox,10,In-case of leased property - Details of Lesser
Valuation of asset,Land,,PART A - BANK / PARTY,Text,11,In-case of leased property - Balance lease period
Valuation of asset,Land,,PART A - BANK / PARTY,Radio,12,In-case of leased property - Mortgageable rights
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Text,7,Population of Town
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Checkbox,8,Any usage restriction
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Radio,9,Is plot in town and planning
Valuation of asset,Land,,PART C - ONSITE,Tabular,1,Date of inspection
Valuation of asset,Land,,PART C - ONSITE,Checkbox,2,Brief description of property (at site)
Valuation of asset,Land,,PART C - ONSITE,Text,3,Postal address of property (current address)
Valuation of asset,Land,,PART C - ONSITE,Text,4,Town / City
Valuation of asset,Land,,PART C - ONSITE,Checkbox,8,Development of surrounding area (actual at site)
Valuation of asset,Land,,PART C - ONSITE,Radio,8,Coming under limits of -
Valuation of asset,Land,,PART C - ONSITE,Checkbox,7,Whether Covered under any state/ Center Government
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Text,10,Approval & permission layout (date and approval number)
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Radio,11,Is it a land locked
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Text,12,Guideline rate (Effective land rate)
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Tabular,13,Detail of approval/permission
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Radio,14,Any other comments by our empanelled valuers
Valuation of asset,Land,,PART C - ONSITE,Checkbox,8,In case it is an agricultural land
Valuation of asset,Land,,PART C - ONSITE,Checkbox,9,Type (land used) of property - Actual at site
Valuation of asset,Land,,PART C - ONSITE,Tabular,10,Boundaries of the property offered (actual at site)
Valuation of asset,Land,,PART C - ONSITE,Tabular,11,Dimensions of the site (offered) (actual at site)
Valuation of asset,Land,,PART C - ONSITE,Text,12,Latitude/longitude/Cordinates of site
Valuation of asset,Land,,PART C - ONSITE,Checkbox,13,Classification of the area
Valuation of asset,Land,,PART C - ONSITE,Checkbox,14,Possibility of frequent -Flooding
Valuation of asset,Land,,PART C - ONSITE,Checkbox,15,Development of surrounding area done by -
Valuation of asset,Land,,PART C - ONSITE,Checkbox,16,Distance of civic amenities
Valuation of asset,Land,,PART C - ONSITE,Checkbox,17,Level/contour of Land with topographical conditions
Valuation of asset,Land,,PART C - ONSITE,Checkbox,18,Shape & soil type of land
Valuation of asset,Land,,PART C - ONSITE,Checkbox,19,Type of use to which it can be put
Valuation of asset,Land,,PART C - ONSITE,Radio,20,Corner plot or Intermittent plot
Valuation of asset,Land,,PART C - ONSITE,Radio,21,Road facilities
Valuation of asset,Land,,PART C - ONSITE,Radio,22,Type of road available at present
Valuation of asset,Land,,PART C - ONSITE,Radio,23,Width of road
Valuation of asset,Land,,PART C - ONSITE,Checkbox,24,Water Potentiality
Valuation of asset,Land,,PART C - ONSITE,Radio,25,Underground sewerage system
Valuation of asset,Land,,PART C - ONSITE,Checkbox,26,Is power supply available at site
Valuation of asset,Land,,PART C - ONSITE,Radio,27,Industrial Area
Valuation of asset,Land,,PART C - ONSITE,Checkbox,28,Advantage of the site
Valuation of asset,Land,,PART C - ONSITE,Text,29,Disadvantage of the site
Valuation of asset,Land,,PART C - ONSITE,Text,30,Special remark if any
Valuation of asset,Land,,PART C - ONSITE,Text,31,Prevailing market rate
Valuation of asset,Land,,PART C - ONSITE,Tabular,32,Size of plot
Valuation of asset,Land,,PART C - ONSITE,Sum of Attribute,33,Part C - Extra Items
Valuation of asset,Land,,PART C - ONSITE,Sum of Attribute,34,Part F - Services
Valuation of asset,Land,,PART C - ONSITE,Text,35,Total extent of the plot
Valuation of asset,Land,,PART C - ONSITE,Radio,36,Type of land
Valuation of asset,Land,,PART C - ONSITE,Radio,37,Accessibility towards land
Valuation of asset,Land,,PART D - POST SITE,Text,1,Date of making this report
Valuation of asset,Land,,PART D - POST SITE,Text,2,Any worryful deviation in Boundaries/ Neighborhood
Valuation of asset,Land,,PART D - POST SITE,Text,3,Any worryful deviation in Dimensions of the site
Valuation of asset,Land,,PART D - POST SITE,Text,4,Extent of the site
Valuation of asset,Land,,PART D - POST SITE,Text,5,Extent of site considered for valuation
Valuation of asset,Land,,PART D - POST SITE,Text,6,Assessed/adopted rate of land
Valuation of asset,Automobile,,PART A - BANK / PARTY,Text,1,Client & Branch Name
Valuation of asset,Automobile,,PART A - BANK / PARTY,Radio,2,Purpose of report to bank
Valuation of asset,Automobile,,PART A - BANK / PARTY,Checkbox,3,Task of Valuer
Valuation of asset,Automobile,,PART A - BANK / PARTY,Checkbox,4,Documents produced for perusal
Valuation of asset,Automobile,,PART A - BANK / PARTY,Text,5,Name of latest owner
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,1,Loan Details/Division
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,2,Ownership S. No.
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,3,Vehicle category
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,4,Asset Type
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Tabular,5,Identification of Vehicle (As per RTO)
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,6,Manufacturer/ Model No.
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,11,No. of Axle
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,12,Year of Manufacture
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Checkbox,13,Fuel Used
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,14,Operating Use/ Type
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,15,No. of Cylinder
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,16,Cubic Capacity
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,17,Unladen Weight
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Text,18,Wheel Base
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Radio,19,Type (BIS)
Valuation of asset,Automobile,,PART B - PRE-SITE VISIT,Tabular,16,Insurance Details of Vehicle
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,1,Inspection Details
Valuation of asset,Automobile,,PART C - ONSITE,Radio,2,Possession Holder
Valuation of asset,Automobile,,PART C - ONSITE,Text,3,Accessories (other than original fitment)
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,4,Internal Maintenance
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,5,Battery Details
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,6,Age
Valuation of asset,Automobile,,PART C - ONSITE,Radio,7,External Maintenance
Valuation of asset,Automobile,,PART C - ONSITE,Text,8,Repair requirement
Valuation of asset,Automobile,,PART C - ONSITE,Radio,9,Denting Requirement
Valuation of asset,Automobile,,PART C - ONSITE,Radio,10,Painting Requirement
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,11,Tyre Condition (Worn - out)
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,12,Light (Front Right)
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,13,Light (Front Left)
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,14,Light (Rear Right)
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,15,Light (Rear Left)
Valuation of asset,Automobile,,PART C - ONSITE,Text,16,Glasses (Nos.- Broken)
Valuation of asset,Automobile,,PART C - ONSITE,Radio,17,Operator driver
Valuation of asset,Automobile,,PART C - ONSITE,Radio,18,Servicing Status
Valuation of asset,Automobile,,PART C - ONSITE,Tabular,20,Identification of Vehicle (As per Inspection)
Valuation of asset,Automobile,,PART C - ONSITE,Checkbox,21,Seat
Valuation of asset,Automobile,,PART D - POST SITE,Radio,1,Availability of Repair/ Workshop
Valuation of asset,Automobile,,PART D - POST SITE,Radio,2,Availability of Model
Valuation of asset,Automobile,,PART D - POST SITE,Radio,3,Manufacturer Status
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,4,Road Tax
Valuation of asset,Automobile,,PART D - POST SITE,Text,5,Name of Hypothecation
Valuation of asset,Automobile,,PART D - POST SITE,Text,6,Any changes in Hypothecation
Valuation of asset,Automobile,,PART D - POST SITE,Radio,7,Permit
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,8,Present Price of New Vehicle & Accessories
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,9,Price of Vehicle & Accessories at the time of purchase
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,10,Bills/ Invoice Details
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,11,Valuer Comment's
Valuation of asset,Automobile,,PART D - POST SITE,Tabular,12,Other Market Value
Valuation of asset,Automobile,,PART D - POST SITE,Radio,13,"Upload Work Order or Pay-in Receipt, only if fully paid"
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,1,Purpose for which the valuation is made
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,1,Date of inspection
Valuation of asset,Flat & Shop,,PART D - POST SITE,Text,1,Date on which the valuation is made
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,2,List of documents produced for perusal (Ownership documents)
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,3,Document provided for perusal (Approval & Permissions)
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,4,Document provided for perusal (Statutory)
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Text,5,Name of the owner(s) and his / their address (es) with Phone no.
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,2,Brief description of the property
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,1,Location of property
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,3,Postal address of the property
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,4,Classification of the area
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,5,Coming under Corporation limit / Village Panchayat / Municipality
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,6,Whether Covered under any state/ Center Government enactments
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,2,Boundaries of the property - as per deed
Valuation of asset,Flat & Shop,,PART C - ONSITE,Tabular,7,Boundaries of the property (actual at site)
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,3,Dimensions of the site (as per document)
Valuation of asset,Flat & Shop,,PART C - ONSITE,Tabular,8,Dimensions of the site (actual at site)
Valuation of asset,Flat & Shop,,PART D - POST SITE,Text,8,Extent of the site
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,9,Latitude / Longitude / Coordinates of site
Valuation of asset,Flat & Shop,,PART D - POST SITE,Text,9,Extend of site considered for valuation
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,10,Whether occupied by the owner/tenant
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,11,Nature of the Apartment
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,12,Location of property
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,13,Description of the locality
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,14,Year of Construction
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,15,Number of floors (at site)
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,16,Type of Structure
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,17,Number of flat (dwelling units) in the building
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,18,Quality of Construction
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,19,Appearance of the Building
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,20,Maintenance of the Building
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,21,Facilities Available
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,22,The floor on which the flat is situated
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,23,Door / Flat No.
Valuation of asset,Flat & Shop,,PART C - ONSITE,Tabular,24,Specifications of the flat
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,4,Property Tax Details
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Tabular,5,Electricity Service Details
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,25,How is the maintenance of the flat?
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Text,6,Sale Deed executed / to be executed in the name of
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Text,7,What is the undivided area of land as per sale deed
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,26,What is the plinth area of the flat? (Super Built up Area)
Valuation of asset,Flat & Shop,,PART B - PRE-SITE VISIT,Text,8,What is the floor space index (app.)
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,27,What is the Carpet Area of the flat?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,28,Is it Posh/ I Class/ Medium/ Ordinary
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,29,Is it being used for Residential/ Commercial purpose?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Checkbox,30,Is it Owner-occupied or let out?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,31,"If rented, what is the monthly rent?"
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,32,How is the marketability?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,33,What are the factors favoring for an extra Potential Value?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,34,Any negative factors are observed which affect the market value in general?
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,35,"After analyzing the comparable sale instances, what is the composite rate for a similar flat"
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,36,"Assuming it is a new construction, what is the adopted basic composite rate"
Valuation of asset,Flat & Shop,,PART C - ONSITE,Tabular,37,Break - up for the rate
Valuation of asset,Flat & Shop,,PART D - POST SITE,Text,4,Guideline rate obtained from the Registrar's office
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,5,Composite building rate A
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,6,Composite building rate B
Valuation of asset,Flat & Shop,,PART D - POST SITE,Sum of Attribute,7,Details of Valuation
Valuation of asset,Flat & Shop,,PART D - POST SITE,Text,8,Guideline Value
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,9,Valuer comment if any
Valuation of asset,Flat & Shop,,PART D - POST SITE,Tabular,10,Other market values
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Radio,6,Name & address of the Valuer
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,37,Name of Apartment
Valuation of asset,Flat & Shop,,PART C - ONSITE,Radio,37,Postal address of the property
Valuation of asset,Flat & Shop,,PART C - ONSITE,Text,38,Flat no. and Floor
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,7,Task of Valuer - to determine
Valuation of asset,Flat & Shop,,PART A - BANK / PARTY,Checkbox,8,Document provided for perusal (Other)
